Source Tweet URL,Eric's Vision / Idea,Track,Milestone/Goal,2026 Tech Mentions
https://x.com/i/status/2021771951904370994,"Sync vs Async work separation: Composer 1.5 for sync, 5.3 Codex for async.",Track 1: Ultimate Agent Integration,"Implement model-switching logic based on task 'latency' requirements.",GPT-5.3 Codex; Composer 1.5
https://x.com/i/status/2019820253023465951,"Waking up to 5 PRs kicked off by cloud agents and reviewed by Bugbot.",Track 3: Long-Running Agents / Cloud Workflows,"Build an autonomous PR-generator that runs overnight and self-corrects based on tests.",Cloud Agents; Bugbot Autofix
https://x.com/i/status/2019456112806732159,"Long-running coding agents peaking at 1,000 commits per hour.",Track 3: Long-Running Agents / Cloud Workflows,"Scale a single task across hundreds of parallel agent instances.",1000 Commits/hr; Cloud Agents
https://x.com/i/status/2018376433782198689,"'Install the best store package' - agent checks health, security, and TypeScript support before picking.",Track 1: Ultimate Agent Integration,"Build a meta-installer that researches and justifies dependencies before adding them.",Agentic Choice; Verification
https://x.com/i/status/2017132008934428963,"Free open-source coaster park builder (Vibe Arena concept).",Track 2: Vibe Arena & JIT Software,"Create a multiplayer, real-time collaborative coding arena using Convex/Modal.",Multiplayer Coding; Vibe Arena
https://x.com/i/status/2016934752188576029,"'Agent Trace' open standard for tracing conversations to code.",Track 4: Agent Trace & Verification,"Implement a standard for mapping every generative line of code back to the prompt that caused it.",Agent Trace Standard
https://x.com/i/status/2015863221589049483,"Cursor subagents using multiple browsers at once for research & QA.",Track 1: Ultimate Agent Integration,"Deploy multiple browser-subagents to verify app behavior across different viewport/states.",Parallel Subagents
https://x.com/i/status/2015551104172613707,"Video-is-code: Generating UI announcement videos from specific brand titles.",Track 6: Video-is-Code / Visual QA,"Build a tool that converts UI designs directly into animated brand assets (H.264/MP4).",Video-is-Code; Computer Use
https://x.com/i/status/2014753596223770841,"Agent Skills: Specialised prompts and code that agents 'discover' and run.",Track 4: Agent Trace & Verification,"Create a library of 'Skills' that an agent can browse and call like an API.",Agent Skills
https://x.com/i/status/2014433672401977382,"Subagents used to complete tasks in parallel, improving context usage.",Track 1: Ultimate Agent Integration,"Design a task-splitter that delegates sub-features to parallel agent instances.",Parallel Context Usage
https://x.com/i/status/2012965313621688758,"Running a business directly from Cursor (Midday MCP).",Track 4: Agent Trace & Verification,"Integrate business/financial tools via MCP to automate invoicing from the editor.",Midday MCP; billing-agent
https://x.com/i/status/2011562190286045552,"Building a browser rendering engine in Rust from scratch using agents.",Track 5: The 3-Week Agent,"A 'marathon' agent run of 1 week+ to build a complex system (Rendering/Rust).",3M+ Lines of Code; Rust Engine
https://x.com/i/status/2011551572409655709,"Bugbot Autofix: Cloud agents addressing findings without human intervention.",Track 3: Long-Running Agents / Cloud Workflows,"Complete the loop: Bug detection -> Background Fix -> Auto-merge PR.",Bugbot Autofix
https://x.com/i/status/2011117029022187604,"Debug Mode with multi-hypothesis generation and log instrumenting.",Track 1: Ultimate Agent Integration,"Build a 'self-repairing' server that instruments itself when a bug is detected.",Multi-hypothesis Generation
https://x.com/i/status/2009651698500051399,"React Fiber Component Extraction from any live website.",Track 2: Vibe Arena & JIT Software,"Create a Chrome extension that pulls the exact React props/styling of a component into Cursor.",React Fiber Extraction
https://x.com/i/status/2009455100520288391,"Just-in-Time software solving disk space warnings instantly.",Track 2: Vibe Arena & JIT Software,"Build a tool that watches system events and 'hallucinates' the fix script immediately.",Just-in-Time Software
https://x.com/i/status/2005700621463330888,"Rust image compressor built without writing a single line of manual code.",Track 5: The 3-Week Agent,"The 'High Fidelity' challenge: Zero manual key presses, 100% agent generated.",520 Agents; 350M Tokens
